id,hotel_id,room_type,description,price_per_night,capacity,amenities
25,6,Suite Royale,"Suite signature de l'établissement, 120 m² habillés de matériaux nobles — marbre de Carrare, soieries et bois précieux. Service de majordome 24h/24, transfert en limousine et accès au spa privatif.",3582,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée,Majordome,Spa privatif,Transfert limousine"
26,7,Chambre Classique,"Chambre confortable de 22 m², décorée avec soin, dotée d'un lit double ou twin, d'une salle de bain privative avec douche, de la climatisation et d'une connexion Wi-Fi haut débit.",123,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
27,7,Junior Suite,"Suite de 55 m² composée d'un salon lumineux et d'une chambre séparée. Terrasse privative avec mobilier de jardin, salle de bain en marbre, hammam et produits de soin exclusifs.",580,3,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé"
28,7,Suite Prestige,"Une suite de 85 m² pensée comme un appartement de luxe : deux salles de bain, une cuisine équipée, un salon avec système home cinéma et une terrasse aménagée avec bain à remous.",1323,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée"
29,8,Chambre Classique,"Chambre intime de 20 m² aux tons neutres et apaisants, équipée d'un bureau de travail, d'une télévision écran plat et d'un minibar. Idéale pour un séjour d'affaires ou de loisirs.",199,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
30,8,Chambre Supérieure,"Chambre spacieuse de 30 m² avec vue sur la cour intérieure ou les toits de la ville. Literie premium, salle de bain avec baignoire et douche séparées, peignoirs et produits de toilette de luxe.",313,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs"
31,8,Chambre Deluxe,"Chambre premium de 38 m² bénéficiant d'une vue dégagée. Literie cinq étoiles, salle de bain en marbre avec douche à l'italienne et baignoire îlot, plateau de courtoisie garni.",370,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso"
32,8,Junior Suite,"Suite de 55 m² composée d'un salon lumineux et d'une chambre séparée. Terrasse privative avec mobilier de jardin, salle de bain en marbre, hammam et produits de soin exclusifs.",530,3,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé"
33,9,Chambre Classique,"Chambre intime de 20 m² aux tons neutres et apaisants, équipée d'un bureau de travail, d'une télévision écran plat et d'un minibar. Idéale pour un séjour d'affaires ou de loisirs.",132,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
34,9,Chambre Supérieure,"Chambre spacieuse de 30 m² avec vue sur la cour intérieure ou les toits de la ville. Literie premium, salle de bain avec baignoire et douche séparées, peignoirs et produits de toilette de luxe.",271,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs"
35,9,Chambre Deluxe,"Chambre de 35 m² entièrement rénovée, décorée par un designer reconnu. Fenêtres panoramiques, lit king-size, walk-in closet et salle de bain dotée d'une douche chromothérapie.",331,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso"
36,9,Junior Suite,"50 m² de raffinement absolu : dressing privatif, salon avec canapé convertible, salle à manger compacte et salle de bain double vasque avec vue plongeante sur la ville.",795,3,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé"
37,10,Chambre Classique,"Chambre confortable de 22 m², décorée avec soin, dotée d'un lit double ou twin, d'une salle de bain privative avec douche, de la climatisation et d'une connexion Wi-Fi haut débit.",156,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
38,10,Chambre Supérieure,"Chambre spacieuse de 30 m² avec vue sur la cour intérieure ou les toits de la ville. Literie premium, salle de bain avec baignoire et douche séparées, peignoirs et produits de toilette de luxe.",243,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs"
39,10,Chambre Deluxe,"Chambre premium de 38 m² bénéficiant d'une vue dégagée. Literie cinq étoiles, salle de bain en marbre avec douche à l'italienne et baignoire îlot, plateau de courtoisie garni.",381,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso"
40,11,Chambre Classique,"Chambre confortable de 22 m², décorée avec soin, dotée d'un lit double ou twin, d'une salle de bain privative avec douche, de la climatisation et d'une connexion Wi-Fi haut débit.",171,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
41,11,Chambre Supérieure,"Espace de 28 m² rehaussé de touches décoratives élégantes : parquet, moulures, mobilier chiné. Coin salon séparé, nespresso, et accès au club lounge de l'hôtel inclus.",273,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs"
42,11,Chambre Deluxe,"Chambre de 35 m² entièrement rénovée, décorée par un designer reconnu. Fenêtres panoramiques, lit king-size, walk-in closet et salle de bain dotée d'une douche chromothérapie.",339,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso"
43,11,Suite Prestige,"Suite de 90 m² au dernier étage, offrant une vue à 180° sur les monuments et les toits. Salon de réception, salle à manger privée, chambre aux volumes majestueux et salle de bain spa avec jacuzzi.",934,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée"
44,11,Suite Royale,"L'apogée du luxe : 140 m² déployés sur un étage, avec grand salon de réception, bureau directorial, chambre principale et seconde chambre d'appoint, deux salles de bain en onyx et terrasse panoramique.",3908,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée,Majordome,Spa privatif,Transfert limousine"
45,12,Chambre Classique,"Chambre confortable de 22 m², décorée avec soin, dotée d'un lit double ou twin, d'une salle de bain privative avec douche, de la climatisation et d'une connexion Wi-Fi haut débit.",197,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
46,12,Chambre Supérieure,"Chambre spacieuse de 30 m² avec vue sur la cour intérieure ou les toits de la ville. Literie premium, salle de bain avec baignoire et douche séparées, peignoirs et produits de toilette de luxe.",247,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs"
47,12,Chambre Deluxe,"Chambre de 35 m² entièrement rénovée, décorée par un designer reconnu. Fenêtres panoramiques, lit king-size, walk-in closet et salle de bain dotée d'une douche chromothérapie.",401,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso"
48,12,Junior Suite,"Suite de 55 m² composée d'un salon lumineux et d'une chambre séparée. Terrasse privative avec mobilier de jardin, salle de bain en marbre, hammam et produits de soin exclusifs.",656,3,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé"
49,13,Chambre Classique,"Chambre intime de 20 m² aux tons neutres et apaisants, équipée d'un bureau de travail, d'une télévision écran plat et d'un minibar. Idéale pour un séjour d'affaires ou de loisirs.",200,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
50,13,Junior Suite,"50 m² de raffinement absolu : dressing privatif, salon avec canapé convertible, salle à manger compacte et salle de bain double vasque avec vue plongeante sur la ville.",680,3,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé"
51,13,Suite Prestige,"Une suite de 85 m² pensée comme un appartement de luxe : deux salles de bain, une cuisine équipée, un salon avec système home cinéma et une terrasse aménagée avec bain à remous.",1055,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée"
52,14,Chambre Classique,"Chambre intime de 20 m² aux tons neutres et apaisants, équipée d'un bureau de travail, d'une télévision écran plat et d'un minibar. Idéale pour un séjour d'affaires ou de loisirs.",162,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
53,14,Chambre Supérieure,"Espace de 28 m² rehaussé de touches décoratives élégantes : parquet, moulures, mobilier chiné. Coin salon séparé, nespresso, et accès au club lounge de l'hôtel inclus.",238,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs"
54,14,Chambre Deluxe,"Chambre premium de 38 m² bénéficiant d'une vue dégagée. Literie cinq étoiles, salle de bain en marbre avec douche à l'italienne et baignoire îlot, plateau de courtoisie garni.",336,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso"
55,14,Junior Suite,"Suite de 55 m² composée d'un salon lumineux et d'une chambre séparée. Terrasse privative avec mobilier de jardin, salle de bain en marbre, hammam et produits de soin exclusifs.",664,3,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé"
56,14,Suite Royale,"Suite signature de l'établissement, 120 m² habillés de matériaux nobles — marbre de Carrare, soieries et bois précieux. Service de majordome 24h/24, transfert en limousine et accès au spa privatif.",2290,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée,Majordome,Spa privatif,Transfert limousine"
57,15,Chambre Classique,"Chambre intime de 20 m² aux tons neutres et apaisants, équipée d'un bureau de travail, d'une télévision écran plat et d'un minibar. Idéale pour un séjour d'affaires ou de loisirs.",197,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
58,15,Chambre Supérieure,"Chambre spacieuse de 30 m² avec vue sur la cour intérieure ou les toits de la ville. Literie premium, salle de bain avec baignoire et douche séparées, peignoirs et produits de toilette de luxe.",241,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs"
59,15,Junior Suite,"Suite de 55 m² composée d'un salon lumineux et d'une chambre séparée. Terrasse privative avec mobilier de jardin, salle de bain en marbre, hammam et produits de soin exclusifs.",543,3,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé"
60,15,Suite Prestige,"Une suite de 85 m² pensée comme un appartement de luxe : deux salles de bain, une cuisine équipée, un salon avec système home cinéma et une terrasse aménagée avec bain à remous.",852,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée"
61,16,Chambre Classique,"Chambre intime de 20 m² aux tons neutres et apaisants, équipée d'un bureau de travail, d'une télévision écran plat et d'un minibar. Idéale pour un séjour d'affaires ou de loisirs.",188,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
62,16,Junior Suite,"Suite de 55 m² composée d'un salon lumineux et d'une chambre séparée. Terrasse privative avec mobilier de jardin, salle de bain en marbre, hammam et produits de soin exclusifs.",693,3,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé"
63,16,Suite Prestige,"Une suite de 85 m² pensée comme un appartement de luxe : deux salles de bain, une cuisine équipée, un salon avec système home cinéma et une terrasse aménagée avec bain à remous.",1179,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée"
64,17,Chambre Classique,"Chambre confortable de 22 m², décorée avec soin, dotée d'un lit double ou twin, d'une salle de bain privative avec douche, de la climatisation et d'une connexion Wi-Fi haut débit.",127,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
65,17,Chambre Supérieure,"Espace de 28 m² rehaussé de touches décoratives élégantes : parquet, moulures, mobilier chiné. Coin salon séparé, nespresso, et accès au club lounge de l'hôtel inclus.",213,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs"
66,17,Chambre Deluxe,"Chambre de 35 m² entièrement rénovée, décorée par un designer reconnu. Fenêtres panoramiques, lit king-size, walk-in closet et salle de bain dotée d'une douche chromothérapie.",386,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso"
67,17,Junior Suite,"Suite de 55 m² composée d'un salon lumineux et d'une chambre séparée. Terrasse privative avec mobilier de jardin, salle de bain en marbre, hammam et produits de soin exclusifs.",529,3,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé"
68,17,Suite Royale,"L'apogée du luxe : 140 m² déployés sur un étage, avec grand salon de réception, bureau directorial, chambre principale et seconde chambre d'appoint, deux salles de bain en onyx et terrasse panoramique.",1762,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée,Majordome,Spa privatif,Transfert limousine"
69,18,Chambre Classique,"Chambre confortable de 22 m², décorée avec soin, dotée d'un lit double ou twin, d'une salle de bain privative avec douche, de la climatisation et d'une connexion Wi-Fi haut débit.",147,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
70,18,Suite Prestige,"Une suite de 85 m² pensée comme un appartement de luxe : deux salles de bain, une cuisine équipée, un salon avec système home cinéma et une terrasse aménagée avec bain à remous.",873,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée"
71,18,Suite Royale,"Suite signature de l'établissement, 120 m² habillés de matériaux nobles — marbre de Carrare, soieries et bois précieux. Service de majordome 24h/24, transfert en limousine et accès au spa privatif.",3314,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée,Majordome,Spa privatif,Transfert limousine"
72,19,Chambre Classique,"Chambre intime de 20 m² aux tons neutres et apaisants, équipée d'un bureau de travail, d'une télévision écran plat et d'un minibar. Idéale pour un séjour d'affaires ou de loisirs.",199,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
73,19,Junior Suite,"50 m² de raffinement absolu : dressing privatif, salon avec canapé convertible, salle à manger compacte et salle de bain double vasque avec vue plongeante sur la ville.",725,3,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé"
74,19,Suite Prestige,"Une suite de 85 m² pensée comme un appartement de luxe : deux salles de bain, une cuisine équipée, un salon avec système home cinéma et une terrasse aménagée avec bain à remous.",841,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée"
75,20,Chambre Classique,"Chambre confortable de 22 m², décorée avec soin, dotée d'un lit double ou twin, d'une salle de bain privative avec douche, de la climatisation et d'une connexion Wi-Fi haut débit.",169,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
76,20,Chambre Supérieure,"Chambre spacieuse de 30 m² avec vue sur la cour intérieure ou les toits de la ville. Literie premium, salle de bain avec baignoire et douche séparées, peignoirs et produits de toilette de luxe.",217,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs"
77,20,Suite Royale,"L'apogée du luxe : 140 m² déployés sur un étage, avec grand salon de réception, bureau directorial, chambre principale et seconde chambre d'appoint, deux salles de bain en onyx et terrasse panoramique.",2706,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée,Majordome,Spa privatif,Transfert limousine"
78,21,Chambre Classique,"Chambre intime de 20 m² aux tons neutres et apaisants, équipée d'un bureau de travail, d'une télévision écran plat et d'un minibar. Idéale pour un séjour d'affaires ou de loisirs.",143,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
79,21,Chambre Supérieure,"Chambre spacieuse de 30 m² avec vue sur la cour intérieure ou les toits de la ville. Literie premium, salle de bain avec baignoire et douche séparées, peignoirs et produits de toilette de luxe.",248,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs"
80,21,Chambre Deluxe,"Chambre de 35 m² entièrement rénovée, décorée par un designer reconnu. Fenêtres panoramiques, lit king-size, walk-in closet et salle de bain dotée d'une douche chromothérapie.",432,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso"
81,21,Suite Prestige,"Une suite de 85 m² pensée comme un appartement de luxe : deux salles de bain, une cuisine équipée, un salon avec système home cinéma et une terrasse aménagée avec bain à remous.",1222,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée"
82,21,Suite Royale,"Suite signature de l'établissement, 120 m² habillés de matériaux nobles — marbre de Carrare, soieries et bois précieux. Service de majordome 24h/24, transfert en limousine et accès au spa privatif.",2164,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée,Majordome,Spa privatif,Transfert limousine"
83,22,Chambre Classique,"Chambre intime de 20 m² aux tons neutres et apaisants, équipée d'un bureau de travail, d'une télévision écran plat et d'un minibar. Idéale pour un séjour d'affaires ou de loisirs.",179,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
84,22,Chambre Supérieure,"Chambre spacieuse de 30 m² avec vue sur la cour intérieure ou les toits de la ville. Literie premium, salle de bain avec baignoire et douche séparées, peignoirs et produits de toilette de luxe.",228,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs"
85,22,Chambre Deluxe,"Chambre de 35 m² entièrement rénovée, décorée par un designer reconnu. Fenêtres panoramiques, lit king-size, walk-in closet et salle de bain dotée d'une douche chromothérapie.",384,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso"
86,22,Suite Prestige,"Suite de 90 m² au dernier étage, offrant une vue à 180° sur les monuments et les toits. Salon de réception, salle à manger privée, chambre aux volumes majestueux et salle de bain spa avec jacuzzi.",1333,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée"
87,22,Suite Royale,"L'apogée du luxe : 140 m² déployés sur un étage, avec grand salon de réception, bureau directorial, chambre principale et seconde chambre d'appoint, deux salles de bain en onyx et terrasse panoramique.",2571,4,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs,Service en chambre,Nespresso,Terrasse,Salon privé,Jacuzzi,Conciergerie dédiée,Majordome,Spa privatif,Transfert limousine"
88,23,Chambre Classique,"Chambre intime de 20 m² aux tons neutres et apaisants, équipée d'un bureau de travail, d'une télévision écran plat et d'un minibar. Idéale pour un séjour d'affaires ou de loisirs.",155,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort"
89,23,Chambre Supérieure,"Chambre spacieuse de 30 m² avec vue sur la cour intérieure ou les toits de la ville. Literie premium, salle de bain avec baignoire et douche séparées, peignoirs et produits de toilette de luxe.",293,2,"Wi-Fi,Climatisation,TV,Minibar,Coffre-fort,Baignoire,Peignoirs"
