id,name,address,city,country,latitude,longitude,stars,phone,description,facilities,price_from
11,Das Paris,14 place du Vieux-Port,Paris,France,48.841995,2.336335,4,+44722995932,"Véritable havre de paix en plein centre-ville, cet hôtel design propose une expérience sensorielle unique. Matériaux durables, luminosité travaillée et végétalisation intérieure créent une atmosphère zen et revigorante, renforcée par un spa holistique primé.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",382
12,Hotel Budapest,139 boulevard de l'Église,Budapest,Hungary,47.506516,19.056345,3,+45746072436,"Établissement phare de la ville depuis plus d'un siècle, cet hôtel conjugue patrimoine architectural remarquable et confort contemporain. Son histoire, jalonnée d'illustres visiteurs, imprègne chaque recoin de ce lieu chargé d'âme et de prestige.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",272
13,La Villa Oslo,164 allée de la Paix,Oslo,Norway,59.931049,10.748287,5,+33558002543,"Au bord des eaux, cette adresse de prestige rayonne par son architecture audacieuse et sa décoration intérieure signée par de grands noms du design contemporain. Les chambres ouvertes sur le paysage aquatique créent une communion unique avec la nature.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",310
14,Das Marseille,188 impasse des Capucines,Marseille,France,43.292812,5.352368,5,+36154580361,"Symbole d'élégance depuis sa fondation, cet hôtel iconique perpétue une tradition d'hospitalité incomparable. Ses façades Belle Époque abritent des espaces de vie luxueux où se conjuguent matières nobles, objets d'art et technologies de pointe.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",296
15,Hôtel Edinburgh,6 rue des Artisans,Edinburgh,United Kingdom,55.977405,-3.199461,5,+30935910295,"Au cœur d'un domaine verdoyant, cette demeure historique transformée en hôtel de prestige vous propose une escapade hors du temps. Les chambres spacieuses, décorées avec goût, offrent une vue imprenable sur les jardins à la française.","Spa & Bien-être,Piscine intérieure,Restaurant gastronomique,Bar,Salle de fitness,Room service 24h/24,Conciergerie,Parking",168
16,The Tradition,164 rue de la Cathédrale,Rome,Italy,41.901542,12.507447,5,+44809979978,"Dans un quartier historique prisé, cette maison d'hôtes d'exception cultive l'art de la discrétion et de l'exclusivité. Avec seulement quinze suites, chaque séjour bénéficie d'une attention toute particulière et d'un service sur mesure irréprochable.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",170
17,Domaine Imperial,14 place de Rivoli,Vienna,Austria,48.194456,16.36122,5,+47320567129,"Au cœur d'un domaine verdoyant, cette demeure historique transformée en hôtel de prestige vous propose une escapade hors du temps. Les chambres spacieuses, décorées avec goût, offrent une vue imprenable sur les jardins à la française.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",201
18,Hotel San Sebastián,30 avenue Victor Hugo,San Sebastián,Spain,43.30383,-1.98383,4,+37249696167,"Installé dans un bâtiment haussmannien entièrement rénové, cet hôtel de caractère vous accueille dans un environnement chaleureux et sophistiqué. Sa situation idéale en fait le point de départ parfait pour explorer les richesses culturelles de la région.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",213
19,Hotel Dubai,86 boulevard des Fleurs,Dubai,United Arab Emirates,25.226562,55.266346,4,+48319946227,"Ancienne demeure aristocratique reconvertie en hôtel de charme, cette adresse cultive un esprit de maison de famille tout en offrant des prestations cinq étoiles. Bibliothèque garnie, salons feutrés et jardins secrets composent ce décor d'exception.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",161
20,Palais Central,108 allée des Fleurs,Barcelona,Spain,41.396741,2.191536,5,+43340860215,"Niché au cœur de la ville, cet établissement élégant allie tradition et modernité dans un cadre raffiné. Chaque détail a été pensé pour offrir une expérience de séjour mémorable, du mobilier soigneusement sélectionné aux services personnalisés.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",159
21,Hôtel Baden-Baden,147 allée de l'Église,Baden-Baden,Germany,48.740331,8.239958,4,+33121469022,"Véritable havre de paix en plein centre-ville, cet hôtel design propose une expérience sensorielle unique. Matériaux durables, luminosité travaillée et végétalisation intérieure créent une atmosphère zen et revigorante, renforcée par un spa holistique primé.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",261
22,Hotel Prestige,145 impasse de la République,Prague,Czech Republic,50.088684,14.442018,3,+43537778380,"Véritable havre de paix en plein centre-ville, cet hôtel design propose une expérience sensorielle unique. Matériaux durables, luminosité travaillée et végétalisation intérieure créent une atmosphère zen et revigorante, renforcée par un spa holistique primé.","Spa & Bien-être,Piscine intérieure,Restaurant gastronomique,Bar,Salle de fitness,Room service 24h/24,Conciergerie,Parking",400
23,Auberge Baroque,125 impasse de Rivoli,Barcelona,Spain,41.391809,2.164718,5,+35721569992,"Ancienne demeure aristocratique reconvertie en hôtel de charme, cette adresse cultive un esprit de maison de famille tout en offrant des prestations cinq étoiles. Bibliothèque garnie, salons feutrés et jardins secrets composent ce décor d'exception.","Spa & Bien-être,Piscine intérieure,Restaurant gastronomique,Bar,Salle de fitness,Room service 24h/24,Conciergerie,Parking",386
24,Maison Jardin,34 chemin du Faubourg,Porto,Portugal,41.162074,-8.653923,3,+38535681185,"Véritable havre de paix en plein centre-ville, cet hôtel design propose une expérience sensorielle unique. Matériaux durables, luminosité travaillée et végétalisation intérieure créent une atmosphère zen et revigorante, renforcée par un spa holistique primé.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",231
25,Das Panorama,192 boulevard du Général de Gaulle,Nice,France,43.686973,7.238654,3,+48808472876,"Véritable havre de paix en plein centre-ville, cet hôtel design propose une expérience sensorielle unique. Matériaux durables, luminosité travaillée et végétalisation intérieure créent une atmosphère zen et revigorante, renforcée par un spa holistique primé.","Spa & Bien-être,Piscine intérieure,Restaurant gastronomique,Bar,Salle de fitness,Room service 24h/24,Conciergerie,Parking",363
26,Hotel Madrid,137 boulevard du Vieux-Port,Madrid,Spain,40.409267,-3.712064,3,+30362210873,"Au cœur d'un domaine verdoyant, cette demeure historique transformée en hôtel de prestige vous propose une escapade hors du temps. Les chambres spacieuses, décorées avec goût, offrent une vue imprenable sur les jardins à la française.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",274
27,Hotel de l'Opéra,114 chemin de l'Église,Paris,France,48.87581,2.36767,3,+38931546670,"Installé dans un bâtiment haussmannien entièrement rénové, cet hôtel de caractère vous accueille dans un environnement chaleureux et sophistiqué. Sa situation idéale en fait le point de départ parfait pour explorer les richesses culturelles de la région.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",243
28,Grand Hôtel Rome,26 avenue Saint-Michel,Rome,Italy,41.913626,12.517185,3,+48688714912,"Véritable havre de paix en plein centre-ville, cet hôtel design propose une expérience sensorielle unique. Matériaux durables, luminosité travaillée et végétalisation intérieure créent une atmosphère zen et revigorante, renforcée par un spa holistique primé.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",231
29,Auberge Lyon,61 chemin de la Paix,Lyon,France,45.750982,4.853275,4,+38211493883,"Au cœur d'un domaine verdoyant, cette demeure historique transformée en hôtel de prestige vous propose une escapade hors du temps. Les chambres spacieuses, décorées avec goût, offrent une vue imprenable sur les jardins à la française.","Spa & Bien-être,Piscine intérieure,Restaurant gastronomique,Bar,Salle de fitness,Room service 24h/24,Conciergerie,Parking",351
30,Résidence Brussels,87 boulevard du Marché,Brussels,Belgium,50.852435,4.34667,3,+48813372178,"Symbole d'élégance depuis sa fondation, cet hôtel iconique perpétue une tradition d'hospitalité incomparable. Ses façades Belle Époque abritent des espaces de vie luxueux où se conjuguent matières nobles, objets d'art et technologies de pointe.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",173
31,Palais Imperial,77 allée Montaigne,Marseille,France,43.31716,5.390806,3,+40290679385,"Niché au cœur de la ville, cet établissement élégant allie tradition et modernité dans un cadre raffiné. Chaque détail a été pensé pour offrir une expérience de séjour mémorable, du mobilier soigneusement sélectionné aux services personnalisés.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",218
32,Auberge Tradition,133 rue des Fleurs,Florence,Italy,43.769308,11.269097,3,+38135692728,"Au cœur d'un domaine verdoyant, cette demeure historique transformée en hôtel de prestige vous propose une escapade hors du temps. Les chambres spacieuses, décorées avec goût, offrent une vue imprenable sur les jardins à la française.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",152
33,The Tradition,49 place des Tanneurs,Stockholm,Sweden,59.326152,18.074534,5,+47153006596,"Au bord des eaux, cette adresse de prestige rayonne par son architecture audacieuse et sa décoration intérieure signée par de grands noms du design contemporain. Les chambres ouvertes sur le paysage aquatique créent une communion unique avec la nature.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",255
34,Maison Madrid,119 rue du Général de Gaulle,Madrid,Spain,40.413311,-3.71411,3,+43514036450,"Au bord des eaux, cette adresse de prestige rayonne par son architecture audacieuse et sa décoration intérieure signée par de grands noms du design contemporain. Les chambres ouvertes sur le paysage aquatique créent une communion unique avec la nature.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",287
35,Das Baden-Baden,129 place du Marché,Baden-Baden,Germany,48.775797,8.24781,3,+31425554124,"Niché au cœur de la ville, cet établissement élégant allie tradition et modernité dans un cadre raffiné. Chaque détail a été pensé pour offrir une expérience de séjour mémorable, du mobilier soigneusement sélectionné aux services personnalisés.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",122
36,Le Château London,155 boulevard du Général de Gaulle,London,United Kingdom,51.525887,-0.152741,4,+49825327528,"Au bord des eaux, cette adresse de prestige rayonne par son architecture audacieuse et sa décoration intérieure signée par de grands noms du design contemporain. Les chambres ouvertes sur le paysage aquatique créent une communion unique avec la nature.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",162
37,La Villa Alpin,11 allée du Faubourg,Geneva,Switzerland,46.214793,6.127952,4,+38222584102,"Véritable havre de paix en plein centre-ville, cet hôtel design propose une expérience sensorielle unique. Matériaux durables, luminosité travaillée et végétalisation intérieure créent une atmosphère zen et revigorante, renforcée par un spa holistique primé.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",178
38,Maison Lacustre,124 chemin Victor Hugo,Lyon,France,45.764514,4.842949,5,+47581154246,"Établissement phare de la ville depuis plus d'un siècle, cet hôtel conjugue patrimoine architectural remarquable et confort contemporain. Son histoire, jalonnée d'illustres visiteurs, imprègne chaque recoin de ce lieu chargé d'âme et de prestige.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",306
39,Hôtel Helsinki,53 chemin de l'Église,Helsinki,Finland,60.162416,24.931413,5,+46846974692,"Ancienne demeure aristocratique reconvertie en hôtel de charme, cette adresse cultive un esprit de maison de famille tout en offrant des prestations cinq étoiles. Bibliothèque garnie, salons feutrés et jardins secrets composent ce décor d'exception.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",365
40,Grand Hôtel Terrasse,133 chemin de la République,Strasbourg,France,48.596162,7.774504,5,+48253476965,"Ancienne demeure aristocratique reconvertie en hôtel de charme, cette adresse cultive un esprit de maison de famille tout en offrant des prestations cinq étoiles. Bibliothèque garnie, salons feutrés et jardins secrets composent ce décor d'exception.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",270
41,Auberge Classique,162 allée des Tanneurs,Berlin,Germany,52.518745,13.402525,4,+37594600837,"Installé dans un bâtiment haussmannien entièrement rénové, cet hôtel de caractère vous accueille dans un environnement chaleureux et sophistiqué. Sa situation idéale en fait le point de départ parfait pour explorer les richesses culturelles de la région.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",137
42,Il Madrid,101 chemin du Général de Gaulle,Madrid,Spain,40.424336,-3.722904,5,+37540848638,"Au cœur d'un domaine verdoyant, cette demeure historique transformée en hôtel de prestige vous propose une escapade hors du temps. Les chambres spacieuses, décorées avec goût, offrent une vue imprenable sur les jardins à la française.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",304
43,Domaine Lacustre,120 avenue de la Paix,Bordeaux,France,44.847056,-0.598709,3,+37431511033,"Ancienne demeure aristocratique reconvertie en hôtel de charme, cette adresse cultive un esprit de maison de famille tout en offrant des prestations cinq étoiles. Bibliothèque garnie, salons feutrés et jardins secrets composent ce décor d'exception.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",129
44,La Villa Bath,12 allée de la Liberté,Bath,United Kingdom,51.379623,-2.367487,4,+45777733448,"Symbole d'élégance depuis sa fondation, cet hôtel iconique perpétue une tradition d'hospitalité incomparable. Ses façades Belle Époque abritent des espaces de vie luxueux où se conjuguent matières nobles, objets d'art et technologies de pointe.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",364
45,Das Vienna,68 impasse Saint-Michel,Vienna,Austria,48.201636,16.374537,3,+49894324107,"Perché sur les hauteurs de la ville, cet hôtel boutique offre une vue panoramique exceptionnelle. Son restaurant gastronomique, animé par un chef étoilé, et son spa luxueux en font une destination de choix pour les amateurs de fine art de vivre.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",215
46,The Bellevue,86 impasse des Fleurs,Berlin,Germany,52.534912,13.417484,4,+38450062903,"Au bord des eaux, cette adresse de prestige rayonne par son architecture audacieuse et sa décoration intérieure signée par de grands noms du design contemporain. Les chambres ouvertes sur le paysage aquatique créent une communion unique avec la nature.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",337
47,Il Brussels,66 allée Royale,Brussels,Belgium,50.87091,4.358439,5,+38260537360,"Établissement phare de la ville depuis plus d'un siècle, cet hôtel conjugue patrimoine architectural remarquable et confort contemporain. Son histoire, jalonnée d'illustres visiteurs, imprègne chaque recoin de ce lieu chargé d'âme et de prestige.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",362
48,Hotel Nice,192 impasse du Vieux-Port,Nice,France,43.707277,7.246321,4,+49518148402,"Niché au cœur de la ville, cet établissement élégant allie tradition et modernité dans un cadre raffiné. Chaque détail a été pensé pour offrir une expérience de séjour mémorable, du mobilier soigneusement sélectionné aux services personnalisés.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",317
49,Maison Lacustre,42 rue Saint-Michel,San Sebastián,Spain,43.342461,-1.968636,5,+43241714634,"Au bord des eaux, cette adresse de prestige rayonne par son architecture audacieuse et sa décoration intérieure signée par de grands noms du design contemporain. Les chambres ouvertes sur le paysage aquatique créent une communion unique avec la nature.","Spa & Bien-être,Piscine intérieure,Restaurant gastronomique,Bar,Salle de fitness,Room service 24h/24,Conciergerie,Parking",134
50,Das Baroque,136 place Royale,Milan,Italy,45.465159,9.191386,5,+46508195170,"Installé dans un bâtiment haussmannien entièrement rénové, cet hôtel de caractère vous accueille dans un environnement chaleureux et sophistiqué. Sa situation idéale en fait le point de départ parfait pour explorer les richesses culturelles de la région.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",376
51,Hôtel Amsterdam,86 boulevard du Faubourg,Amsterdam,Netherlands,52.389301,4.901846,5,+36800745545,"Dans un quartier historique prisé, cette maison d'hôtes d'exception cultive l'art de la discrétion et de l'exclusivité. Avec seulement quinze suites, chaque séjour bénéficie d'une attention toute particulière et d'un service sur mesure irréprochable.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",154
52,Le Château Maritime,10 allée des Fleurs,Geneva,Switzerland,46.197473,6.123667,5,+48621703412,"Au cœur d'un domaine verdoyant, cette demeure historique transformée en hôtel de prestige vous propose une escapade hors du temps. Les chambres spacieuses, décorées avec goût, offrent une vue imprenable sur les jardins à la française.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",177
53,Grand Hôtel Budapest,114 chemin de la Paix,Budapest,Hungary,47.495846,19.016148,3,+45502513144,"Établissement phare de la ville depuis plus d'un siècle, cet hôtel conjugue patrimoine architectural remarquable et confort contemporain. Son histoire, jalonnée d'illustres visiteurs, imprègne chaque recoin de ce lieu chargé d'âme et de prestige.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",242
54,Palais Côté Jardin,195 chemin Victor Hugo,Stockholm,Sweden,59.35181,18.068237,4,+39279437724,"Symbole d'élégance depuis sa fondation, cet hôtel iconique perpétue une tradition d'hospitalité incomparable. Ses façades Belle Époque abritent des espaces de vie luxueux où se conjuguent matières nobles, objets d'art et technologies de pointe.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",178
55,Maison Lisbon,89 boulevard de la Liberté,Lisbon,Portugal,38.725341,-9.119754,3,+49156850550,"Perché sur les hauteurs de la ville, cet hôtel boutique offre une vue panoramique exceptionnelle. Son restaurant gastronomique, animé par un chef étoilé, et son spa luxueux en font une destination de choix pour les amateurs de fine art de vivre.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",212
56,Il Maritime,159 place des Tanneurs,Munich,Germany,48.156106,11.557985,5,+48265967844,"Au bord des eaux, cette adresse de prestige rayonne par son architecture audacieuse et sa décoration intérieure signée par de grands noms du design contemporain. Les chambres ouvertes sur le paysage aquatique créent une communion unique avec la nature.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",280
57,Das Venice,73 rue du Faubourg,Venice,Italy,45.464024,12.308707,3,+48732239666,"Au bord des eaux, cette adresse de prestige rayonne par son architecture audacieuse et sa décoration intérieure signée par de grands noms du design contemporain. Les chambres ouvertes sur le paysage aquatique créent une communion unique avec la nature.","Spa & Bien-être,Piscine intérieure,Restaurant gastronomique,Bar,Salle de fitness,Room service 24h/24,Conciergerie,Parking",192
58,Palais Côté Cour,32 chemin du Faubourg,Geneva,Switzerland,46.194251,6.15113,4,+37461603351,"Symbole d'élégance depuis sa fondation, cet hôtel iconique perpétue une tradition d'hospitalité incomparable. Ses façades Belle Époque abritent des espaces de vie luxueux où se conjuguent matières nobles, objets d'art et technologies de pointe.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",208
59,Das de l'Opéra,149 allée du Vieux-Port,Lyon,France,45.75017,4.830462,3,+38143741943,"Installé dans un bâtiment haussmannien entièrement rénové, cet hôtel de caractère vous accueille dans un environnement chaleureux et sophistiqué. Sa situation idéale en fait le point de départ parfait pour explorer les richesses culturelles de la région.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",290
60,La Villa Salzburg,157 allée de la Liberté,Salzburg,Austria,47.785901,13.071703,4,+30377928419,"Véritable havre de paix en plein centre-ville, cet hôtel design propose une expérience sensorielle unique. Matériaux durables, luminosité travaillée et végétalisation intérieure créent une atmosphère zen et revigorante, renforcée par un spa holistique primé.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",294
61,Domaine Zurich,100 chemin du Marché,Zurich,Switzerland,47.389222,8.529056,4,+49430428473,"Au cœur d'un domaine verdoyant, cette demeure historique transformée en hôtel de prestige vous propose une escapade hors du temps. Les chambres spacieuses, décorées avec goût, offrent une vue imprenable sur les jardins à la française.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",394
62,Hotel Alpin,85 avenue des Fleurs,Zurich,Switzerland,47.377329,8.526687,5,+48991795819,"Dans un quartier historique prisé, cette maison d'hôtes d'exception cultive l'art de la discrétion et de l'exclusivité. Avec seulement quinze suites, chaque séjour bénéficie d'une attention toute particulière et d'un service sur mesure irréprochable.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",126
63,Maison Barcelona,102 allée de l'Église,Barcelona,Spain,41.369948,2.182314,5,+43166099873,"Ancienne demeure aristocratique reconvertie en hôtel de charme, cette adresse cultive un esprit de maison de famille tout en offrant des prestations cinq étoiles. Bibliothèque garnie, salons feutrés et jardins secrets composent ce décor d'exception.","Restaurant,Bar lounge,Terrasse panoramique,Salle de conférences,Service de blanchisserie,Navette aéroport",144
64,La Villa Amsterdam,5 rue des Tanneurs,Amsterdam,Netherlands,52.345228,4.892565,3,+34153868968,"Installé dans un bâtiment haussmannien entièrement rénové, cet hôtel de caractère vous accueille dans un environnement chaleureux et sophistiqué. Sa situation idéale en fait le point de départ parfait pour explorer les richesses culturelles de la région.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",246
65,Hotel Copenhagen,188 avenue du Général de Gaulle,Copenhagen,Denmark,55.653967,12.576949,4,+48477871934,"Installé dans un bâtiment haussmannien entièrement rénové, cet hôtel de caractère vous accueille dans un environnement chaleureux et sophistiqué. Sa situation idéale en fait le point de départ parfait pour explorer les richesses culturelles de la région.","Petit-déjeuner gastronomique,Restaurant,Bar,Terrasse,Jardin,Salle de réunion,Service en chambre",134
66,Le Château Classique,135 chemin du Vieux-Port,Porto,Portugal,41.167983,-8.616644,5,+41341588199,"Véritable havre de paix en plein centre-ville, cet hôtel design propose une expérience sensorielle unique. Matériaux durables, luminosité travaillée et végétalisation intérieure créent une atmosphère zen et revigorante, renforcée par un spa holistique primé.","Bar à cocktails,Bistrot,Salle de sport,Sauna,Bain turc,Conciergerie,Wi-Fi gratuit,Parking",146
67,Domaine Edinburgh,137 chemin Victor Hugo,Edinburgh,United Kingdom,55.944394,-3.203726,5,+31813677975,"Niché au cœur de la ville, cet établissement élégant allie tradition et modernité dans un cadre raffiné. Chaque détail a été pensé pour offrir une expérience de séjour mémorable, du mobilier soigneusement sélectionné aux services personnalisés.","Spa & Bien-être,Piscine intérieure,Restaurant gastronomique,Bar,Salle de fitness,Room service 24h/24,Conciergerie,Parking",322
68,Hôtel Côté Jardin,110 rue des Capucines,Vienna,Austria,48.199727,16.360089,3,+49375403389,"Niché au cœur de la ville, cet établissement élégant allie tradition et modernité dans un cadre raffiné. Chaque détail a été pensé pour offrir une expérience de séjour mémorable, du mobilier soigneusement sélectionné aux services personnalisés.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",316
69,Palais Classique,56 avenue de la Paix,Strasbourg,France,48.588483,7.754951,5,+37580024490,"Perché sur les hauteurs de la ville, cet hôtel boutique offre une vue panoramique exceptionnelle. Son restaurant gastronomique, animé par un chef étoilé, et son spa luxueux en font une destination de choix pour les amateurs de fine art de vivre.","Piscine extérieure,Spa,Restaurant étoilé,Cave à vins,Jardin privé,Yoga,Parking voiturier",390
